Tanggal,RH_avg
01-01-2010,85
02-01-2010,83
03-01-2010,86
04-01-2010,84
05-01-2010,80
06-01-2010,88
07-01-2010,89
08-01-2010,84
09-01-2010,81
10-01-2010,80
11-01-2010,84
12-01-2010,77
13-01-2010,80
14-01-2010,87
15-01-2010,84
16-01-2010,79
17-01-2010,77
18-01-2010,81
19-01-2010,82
20-01-2010,86
21-01-2010,84
22-01-2010,81
23-01-2010,86
24-01-2010,84
25-01-2010,88
26-01-2010,86
27-01-2010,82
28-01-2010,83
29-01-2010,81
30-01-2010,79
31-01-2010,78
01-02-2010,78
02-02-2010,80
03-02-2010,79
04-02-2010,78
05-02-2010,78
06-02-2010,80
07-02-2010,84
08-02-2010,86
09-02-2010,80
10-02-2010,78
11-02-2010,84
12-02-2010,84
13-02-2010,78
14-02-2010,82
15-02-2010,81
16-02-2010,83
17-02-2010,91
18-02-2010,81
19-02-2010,82
20-02-2010,82
21-02-2010,79
22-02-2010,82
23-02-2010,79
24-02-2010,85
25-02-2010,80
26-02-2010,77
27-02-2010,81
28-02-2010,82
01-03-2010,81
02-03-2010,80
03-03-2010,83
04-03-2010,80
05-03-2010,86
06-03-2010,79
07-03-2010,76
08-03-2010,78
09-03-2010,79
10-03-2010,75
11-03-2010,79
12-03-2010,78
13-03-2010,85
14-03-2010,80
15-03-2010,81
16-03-2010,83
17-03-2010,82
18-03-2010,78
19-03-2010,77
20-03-2010,79
21-03-2010,91
22-03-2010,82
23-03-2010,78
24-03-2010,86
25-03-2010,81
26-03-2010,78
27-03-2010,85
28-03-2010,79
29-03-2010,81
30-03-2010,86
31-03-2010,84
01-04-2010,84
02-04-2010,85
03-04-2010,90
04-04-2010,87
05-04-2010,78
06-04-2010,80
07-04-2010,84
08-04-2010,83
09-04-2010,80
10-04-2010,78
11-04-2010,76
12-04-2010,78
13-04-2010,78
14-04-2010,75
15-04-2010,83
16-04-2010,74
17-04-2010,76
18-04-2010,76
19-04-2010,78
20-04-2010,87
21-04-2010,80
22-04-2010,80
23-04-2010,83
24-04-2010,79
25-04-2010,84
26-04-2010,78
27-04-2010,89
28-04-2010,84
29-04-2010,86
30-04-2010,76
01-05-2010,81
02-05-2010,77
03-05-2010,81
04-05-2010,80
05-05-2010,88
06-05-2010,82
07-05-2010,83
08-05-2010,78
09-05-2010,79
10-05-2010,78
11-05-2010,79
12-05-2010,81
13-05-2010,79
14-05-2010,85
15-05-2010,78
16-05-2010,92
17-05-2010,82
18-05-2010,85
19-05-2010,78
20-05-2010,80
21-05-2010,80
22-05-2010,78
23-05-2010,81
24-05-2010,79
25-05-2010,84
26-05-2010,81
27-05-2010,85
28-05-2010,81
29-05-2010,82
30-05-2010,80
31-05-2010,79
01-06-2010,84
02-06-2010,83
03-06-2010,84
04-06-2010,86
05-06-2010,82
06-06-2010,80
07-06-2010,80
08-06-2010,84
09-06-2010,87
10-06-2010,86
11-06-2010,79
12-06-2010,84
